Year,Region,Poverty rate,Poverty Line
2000,Finland,0,$2.15
2003,Finland,0.05,$2.15
2004,Finland,0.04,$2.15
2005,Finland,0.06,$2.15
2006,Finland,0.08,$2.15
2007,Finland,0.06,$2.15
2008,Finland,0.05,$2.15
2009,Finland,0.05,$2.15
2010,Finland,0.05,$2.15
2011,Finland,0.05,$2.15
2012,Finland,0.05,$2.15
2013,Finland,0.09,$2.15
2014,Finland,0.07,$2.15
2015,Finland,0.07,$2.15
2016,Finland,0.05,$2.15
2017,Finland,0.07,$2.15
2018,Finland,0.06,$2.15
2019,Finland,0.04,$2.15
2020,Finland,0.03,$2.15
1970,France,0,$2.15
1975,France,0.25,$2.15
1979,France,0.25,$2.15
1984,France,0.5,$2.15
1990,France,0.25,$2.15
1996,France,0.25,$2.15
1997,France,0.25,$2.15
1998,France,0,$2.15
1999,France,0,$2.15
2000,France,0,$2.15
2001,France,0,$2.15
2002,France,0,$2.15
2003,France,0.16,$2.15
2004,France,0.05,$2.15
2005,France,0.04,$2.15
2006,France,0.03,$2.15
2007,France,0.01,$2.15
2008,France,0.01,$2.15
2009,France,0.04,$2.15
2010,France,0.09,$2.15
2011,France,0.03,$2.15
2012,France,0.06,$2.15
2013,France,0.06,$2.15
2014,France,0.02,$2.15
2015,France,0.13,$2.15
2016,France,0.06,$2.15
2017,France,0.02,$2.15
2018,France,0.02,$2.15
2019,France,0.05,$2.15
2020,France,0.11,$2.15
2005,Gabon,5.48,$2.15
2017,Gabon,2.47,$2.15
1998,"Gambia, The",74.1,$2.15
2003,"Gambia, The",50.69,$2.15
2010,"Gambia, The",29.83,$2.15
2015,"Gambia, The",13.38,$2.15
2020,"Gambia, The",17.24,$2.15
1996,Georgia,6.77,$2.15
1997,Georgia,18.78,$2.15
1998,Georgia,16.96,$2.15
1999,Georgia,21.79,$2.15
2000,Georgia,22.9,$2.15
2001,Georgia,23.01,$2.15
2002,Georgia,12.69,$2.15
2003,Georgia,12.95,$2.15
2004,Georgia,12.37,$2.15
2005,Georgia,12.88,$2.15
2006,Georgia,12.59,$2.15
2007,Georgia,14.2,$2.15
2008,Georgia,12.45,$2.15
2009,Georgia,12.13,$2.15
2010,Georgia,14.36,$2.15
2011,Georgia,13.4,$2.15
2012,Georgia,10.67,$2.15
2013,Georgia,8.08,$2.15
2014,Georgia,6.13,$2.15
2015,Georgia,4.88,$2.15
2016,Georgia,4.91,$2.15
2017,Georgia,6.23,$2.15
2018,Georgia,5.56,$2.15
2019,Georgia,4.85,$2.15
2020,Georgia,5.81,$2.15
2021,Georgia,5.49,$2.15
1991,Germany,0,$2.15
1992,Germany,0,$2.15
1993,Germany,0,$2.15
1994,Germany,0.2,$2.15
1995,Germany,0.25,$2.15
1996,Germany,0,$2.15
1997,Germany,0,$2.15
1998,Germany,0,$2.15
1999,Germany,0,$2.15
2000,Germany,0,$2.15
2001,Germany,0,$2.15
2002,Germany,0,$2.15
2003,Germany,0,$2.15
2004,Germany,0,$2.15
2005,Germany,0,$2.15
2006,Germany,0,$2.15
2007,Germany,0,$2.15
2008,Germany,0,$2.15
2009,Germany,0,$2.15
2010,Germany,0,$2.15
2011,Germany,0,$2.15
2012,Germany,0,$2.15
2013,Germany,0,$2.15
2014,Germany,0,$2.15
2015,Germany,0,$2.15
2016,Germany,0,$2.15
2017,Germany,0.25,$2.15
2018,Germany,0,$2.15
2019,Germany,0,$2.15
1987,Ghana,58.39,$2.15
1988,Ghana,57.54,$2.15
1991,Ghana,64.17,$2.15
1998,Ghana,55,$2.15
2005,Ghana,42.47,$2.15
2012,Ghana,25.69,$2.15
2016,Ghana,25.21,$2.15
1995,Greece,1.74,$2.15
2000,Greece,0.49,$2.15
2003,Greece,0.5,$2.15
2004,Greece,0.64,$2.15
2005,Greece,0.34,$2.15
2006,Greece,0.55,$2.15
2007,Greece,0.5,$2.15
2008,Greece,0.34,$2.15
2009,Greece,0.63,$2.15
2010,Greece,0.97,$2.15
2011,Greece,1.12,$2.15
2012,Greece,1.46,$2.15
2013,Greece,0.96,$2.15
2014,Greece,1.51,$2.15
2015,Greece,1.37,$2.15
2016,Greece,1.04,$2.15
2017,Greece,0.87,$2.15
2018,Greece,0.14,$2.15
2019,Greece,0.69,$2.15
